,t_manu,t_model,t_cap,t_hh,xlong,ylat,geometry,predicted_ws,actual_ws,predicted_ws - actual_ws,predicted_energy,actual_energy,predicted_energy - actual_energy
0,GE Wind,GE1.85-82.5,1850.0,80.0,-122.092079,38.233505,POINT (-122.092079 38.233505),5.167553856360281,3.5447193482829937,1.6228345080772875,419.71837366036203,41.30923177294154,378.4091418874205
1,GE Wind,GE1.5-77,1500.0,65.0,-122.089287,38.232296,POINT (-122.089287 38.232296),5.171415240212752,3.5510754765656647,1.6203397636470869,307.25269023105903,22.6896345959479,284.56305563511114
2,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.644188,37.796196,POINT (-121.644188 37.796196),5.4818817651642995,5.0396816760982635,0.44220008906603603,318.12969191323305,48.44434772300551,269.6853441902275
3,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.666084,37.801395,POINT (-121.666084 37.801395),5.50903010411622,5.104147875722424,0.40488222839379606,101.11973291041124,55.66456208091145,45.45517082949979
4,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.653885,37.802994,POINT (-121.653885 37.802994),5.495176397535964,5.0708206882697,0.42435570926626376,322.43715280165236,51.931917086206425,270.5052357154459
5,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.658249,37.809929,POINT (-121.658249 37.809929),5.502077386279327,5.08672228917534,0.415355097103987,100.25759589863651,53.71289638763804,46.54469951099847
6,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.66468,37.799339,POINT (-121.66468 37.799339),5.506907663497828,5.09922698251561,0.4076806809822182,100.8565502737307,55.11342204174832,45.74312823198238
7,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.655991,37.804893,POINT (-121.655991 37.804893),5.498144931956681,5.077757885602059,0.4203870463546213,323.39895795396455,52.708883187430644,270.69007476653394
8,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.67099,37.799793,POINT (-121.67099 37.799793),5.5142471283260495,5.116751863219932,0.39749526510611766,101.76664391243014,57.07620868063236,44.69043523179778
9,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.666489,37.802994,POINT (-121.666489 37.802994),5.50988682112824,5.106075944096867,0.40381087703137286,101.22596581990175,55.88050573884911,45.345460081052636
10,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.672287,37.799995,POINT (-121.672287 37.799995),5.515763621692097,5.120366191299877,0.39539743039221964,101.95468908982,57.48101342558623,44.47367566423377
11,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.647385,37.797295,POINT (-121.647385 37.797295),5.485996427787477,5.0494035283328715,0.4365928994546051,319.46284260314246,49.53319517328161,269.92964742986084
12,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.65979,37.795593,POINT (-121.65979 37.795593),5.50029502782067,5.083716934616124,0.41657809320454575,100.03658344976304,53.37629667700588,46.66028677275716
13,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.660484,37.796894,POINT (-121.660484 37.796894),5.501426816436749,5.086316030920829,0.4151107855159202,100.17692523815685,53.667395463132806,46.50952977502405
14,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.666786,37.803696,POINT (-121.666786 37.803696),5.510399386409831,5.107249590798821,0.40314979561100994,101.28952391481903,56.01195416946794,45.27756974535109
15,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.66729,37.805195,POINT (-121.66729 37.805195),5.511343503261994,5.109395925708716,0.4019475775532779,101.40659440448725,56.252343679376196,45.154250725111055
16,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.658485,37.808697,POINT (-121.658485 37.808697),5.502038495615777,5.086746747083298,0.4152917485324785,100.2527734563563,53.71563567332939,46.53713778302691
