,Unnamed: 0,t_manu,t_model,t_cap,t_hh,xlong,ylat,forecast_ws,actual_ws,actual-forecast,energy_forecast,energy_actual,energy_actual - energy_forecast,geometry
0,0,GE Wind,GE1.85-82.5,1850.0,80.0,-122.092079,38.233505,1.7510666552226517,2.9591783074147457,1.2081116521920945,0.0,5.510139688976949,5.510139688976949,POINT (-122.092079 38.233505)
1,1,GE Wind,GE1.5-77,1500.0,65.0,-122.089287,38.232296,1.7520020920009838,2.953796583743835,1.2017944917428514,0.0,0.0,0.0,POINT (-122.089287 38.232296)
2,2,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.644188,37.796196,2.8403650178044075,3.120048885575004,0.2796838677705962,0.0,0.0,0.0,POINT (-121.644188 37.796196)
3,3,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.666084,37.801395,2.85232098000604,3.102972730330034,0.2506517503239944,0.0,0.0,0.0,POINT (-121.666084 37.801395)
4,4,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.653885,37.802994,2.8456080922562625,3.1074346791389296,0.261826586882667,0.0,0.0,0.0,POINT (-121.653885 37.802994)
5,5,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.658249,37.809929,2.847944834601765,3.097202484742944,0.2492576501411783,0.0,0.0,0.0,POINT (-121.658249 37.809929)
6,6,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.66468,37.799339,2.8515604274804227,3.105923618302567,0.2543631908221444,0.0,0.0,0.0,POINT (-121.66468 37.799339)
7,7,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.655991,37.804893,2.846753387070223,3.104194571340132,0.2574411842699087,0.0,0.0,0.0,POINT (-121.655991 37.804893)
8,8,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.67099,37.799793,2.854930175036496,3.1022684693233256,0.2473382942868296,0.0,0.0,0.0,POINT (-121.67099 37.799793)
9,9,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.666489,37.802994,2.852542888495305,3.1010015585535435,0.2484586700582389,0.0,0.0,0.0,POINT (-121.666489 37.802994)
10,10,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.672287,37.799995,2.8556164828368797,3.101407921275722,0.2457914384388426,0.0,0.0,0.0,POINT (-121.672287 37.799995)
11,11,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.647385,37.797295,2.8421096011284623,3.117146729357715,0.2750371282292527,0.0,0.0,0.0,POINT (-121.647385 37.797295)
12,12,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.65979,37.795593,2.848926549166431,3.1124243344740963,0.2634977853076652,0.0,0.0,0.0,POINT (-121.65979 37.795593)
13,13,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.660484,37.796894,2.8492975868056227,3.1106906125027938,0.261393025697171,0.0,0.0,0.0,POINT (-121.660484 37.796894)
14,14,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.666786,37.803696,2.852704787208145,3.100070199634307,0.2473654124261619,0.0,0.0,0.0,POINT (-121.666786 37.803696)
15,15,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.66729,37.805195,2.852980261410984,3.098134204823076,0.2451539434120921,0.0,0.0,0.0,POINT (-121.66729 37.805195)
16,16,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.658485,37.808697,2.8480954422702838,3.0985295798287087,0.2504341375584253,0.0,0.0,0.0,POINT (-121.658485 37.808697)
17,17,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.654587,37.803596,2.8459897661046423,3.1063915027555407,0.2604017366508984,0.0,0.0,0.0,POINT (-121.654587 37.803596)
18,18,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.652985,37.801495,2.8451331222556284,3.1095812095988142,0.2644480873431858,0.0,0.0,0.0,POINT (-121.652985 37.801495)
19,19,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.654083,37.799595,2.845774020735573,3.11110290599515,0.265328885259577,0.0,0.0,0.0,POINT (-121.654083 37.799595)
20,20,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.648285,37.799496,2.8425554334787937,3.114270485658845,0.2717150521800517,0.0,0.0,0.0,POINT (-121.648285 37.799496)
21,21,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.659889,37.796394,2.848977481950231,3.111528106147812,0.2625506241975812,0.0,0.0,0.0,POINT (-121.659889 37.796394)
22,22,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.652885,37.799496,2.8451129053536843,3.111839132197577,0.2667262268438928,0.0,0.0,0.0,POINT (-121.652885 37.799496)
23,23,Mitsubishi,MWT62/1.0,1000.0,55.0,-121.647987,37.798695,2.842409292641821,3.1153063177598765,0.2728970251180556,0.0,0.0,0.0,POINT (-121.647987 37.798695)
